Expiration,VolumeCall,VolumePut,PutCallRatio,OICall,OIPut,PutCallRatio,ImpliedVol,MaxPain,MaxPainvsCurrPrice
"Feb 27, 2025 (0 days) (w)","2,683,819","3,255,566",1.21,"195,151","233,740",1.2,2.46%,596.00,+10.97 (1.88%)
"Feb 28, 2025 (1 days) (w)","896,256","1,185,596",1.32,"631,406","1,651,442",2.62,23.43%,596.00,+10.97 (1.88%)
"Mar 03, 2025 (4 days) (w)","222,190","213,569",0.96,"92,746","87,709",0.95,19.56%,599.00,+13.97 (2.39%)
"Mar 04, 2025 (5 days) (w)","89,552","92,503",1.03,"48,559","44,843",0.92,20.18%,598.00,+12.97 (2.22%)
"Mar 05, 2025 (6 days) (w)","76,250","75,106",0.98,"37,540","66,192",1.76,20.37%,600.00,+14.97 (2.56%)
"Mar 06, 2025 (7 days) (w)","43,125","37,740",0.88,"26,286","24,867",0.95,20.48%,599.00,+13.97 (2.39%)
"Mar 07, 2025 (8 days) (w)","166,314","244,006",1.47,"208,387","337,664",1.62,21.43%,600.00,+14.97 (2.56%)
"Mar 10, 2025 (11 days) (w)","25,124","59,525",2.37,"17,365","16,590",0.96,19.2%,596.00,+10.97 (1.88%)
"Mar 11, 2025 (12 days) (w)","15,505","9,552",0.62,"9,411","5,176",0.55,19.23%,595.00,+9.97 (1.70%)
"Mar 12, 2025 (13 days) (w)","14,794","9,681",0.65,"1,360",895,0.66,19.6%,596.00,+10.97 (1.88%)
"Mar 13, 2025 (14 days) (w)","1,852","2,915",1.57,0,0,0,18.34%,581.00,-4.03 (-0.69%)
"Mar 14, 2025 (15 days) (w)","46,007","113,182",2.46,"140,838","832,902",5.91,19.82%,600.00,+14.97 (2.56%)
"Mar 21, 2025 (22 days) (m)","109,384","479,176",4.38,"1,185,680","3,479,966",2.93,19.37%,595.00,+9.97 (1.70%)
"Mar 28, 2025 (29 days) (w)","16,996","22,209",1.31,"46,619","372,705",7.99,18.3%,602.00,+16.97 (2.90%)
"Mar 31, 2025 (32 days) (w)","31,050","89,256",2.87,"226,421","478,582",2.11,17.82%,591.00,+5.97 (1.02%)
"Apr 04, 2025 (36 days) (w)","12,008","16,096",1.34,"24,076","29,498",1.23,17.88%,601.00,+15.97 (2.73%)
"Apr 11, 2025 (43 days) (w)","1,920","2,056",1.07,0,0,0,18.03%,555.00,-30.03 (-5.13%)
"Apr 17, 2025 (49 days) (w)","78,859","185,633",2.35,"456,028","863,529",1.89,17.42%,595.00,+9.97 (1.70%)
"Apr 30, 2025 (62 days) (w)","13,926","34,330",2.47,"143,545","161,432",1.12,16.88%,590.00,+4.97 (0.85%)
"May 16, 2025 (78 days) (m)","17,675","37,460",2.12,"126,669","297,931",2.35,17.1%,600.00,+14.97 (2.56%)
"May 30, 2025 (92 days) (w)","6,069","6,054",1.0,"56,486","52,381",0.93,17.04%,589.00,+3.97 (0.68%)
"Jun 20, 2025 (113 days) (m)","17,496","30,149",1.72,"417,845","855,007",2.05,17.0%,575.00,-10.03 (-1.71%)
"Jun 30, 2025 (123 days) (w)","6,682","3,535",0.53,"94,386","116,268",1.23,16.74%,570.00,-15.03 (-2.57%)
"Jul 18, 2025 (141 days) (m)","4,527","9,573",2.11,"105,744","134,435",1.27,16.91%,590.00,+4.97 (0.85%)
"Jul 31, 2025 (154 days) (w)",609,"1,042",1.71,"27,193","14,612",0.54,17.03%,610.00,+24.97 (4.27%)
"Aug 15, 2025 (169 days) (m)","26,510","5,366",0.2,"149,545","143,730",0.96,17.21%,573.00,-12.03 (-2.06%)
"Aug 29, 2025 (183 days) (w)",757,590,0.78,"5,885","1,016",0.17,17.57%,577.00,-8.03 (-1.37%)
"Sep 19, 2025 (204 days) (m)","9,662","9,244",0.96,"204,338","456,855",2.24,17.41%,585.00,-0.03 (-0.01%)
"Sep 30, 2025 (215 days) (w)","2,848","2,123",0.75,"32,191","29,140",0.91,17.49%,597.00,+11.97 (2.05%)
"Dec 19, 2025 (295 days) (m)","4,763","4,141",0.87,"297,019","436,113",1.47,17.86%,560.00,-25.03 (-4.28%)
"Dec 31, 2025 (307 days) (w)","1,461","1,739",1.19,"30,022","33,239",1.11,17.54%,600.00,+14.97 (2.56%)
"Jan 16, 2026 (323 days) (m)","6,444","5,600",0.87,"249,836","347,295",1.39,17.86%,580.00,-5.03 (-0.86%)
"Mar 20, 2026 (386 days) (m)","2,971","1,374",0.46,"112,911","57,589",0.51,18.11%,610.00,+24.97 (4.27%)
"Jun 18, 2026 (476 days) (w)","2,179","1,319",0.61,"46,050","56,584",1.23,18.21%,550.00,-35.03 (-5.99%)
"Dec 18, 2026 (659 days) (m)",768,"2,056",2.68,"86,739","153,912",1.77,18.91%,545.00,-40.03 (-6.84%)
"Jan 15, 2027 (687 days) (m)",600,475,0.79,"41,611","31,119",0.75,18.84%,600.00,+14.97 (2.56%)
"Dec 17, 2027 (1023 days) (m)",503,339,0.67,"18,517","17,384",0.94,20.07%,595.00,+9.97 (1.70%)
