Expiration,VolumeCall,VolumePut,PutCallRatio,OICall,OIPut,PutCallRatio,ImpliedVol,MaxPain,MaxPainvsCurrPrice
"Mar 18, 2025 (4 days) (w)","197,931","110,845",0.56,"3,477,534","2,353,609",0.68,72.08%,20.00,-1.64 (-7.58%)
"Mar 26, 2025 (12 days) (w)","5,011","1,883",0.38,"37,952","13,120",0.35,103.16%,19.00,-2.64 (-12.20%)
"Apr 02, 2025 (19 days) (w)","1,672",501,0.3,"4,640","3,693",0.8,106.46%,22.00,+0.36 (1.66%)
"Apr 09, 2025 (26 days) (w)","1,089",89,0.08,"1,472","1,094",0.74,97.72%,24.00,+2.36 (10.91%)
"Apr 16, 2025 (33 days) (w)","303,310","205,886",0.68,"3,068,502","1,483,058",0.48,92.08%,20.00,-1.64 (-7.58%)
"Apr 23, 2025 (40 days) (w)",86,131,1.52,174,50,0.29,89.84%,25.00,+3.36 (15.53%)
"May 21, 2025 (68 days) (w)","40,461","60,221",1.49,"1,768,734","546,817",0.31,82.49%,19.00,-2.64 (-12.20%)
"Jun 18, 2025 (96 days) (w)","44,404","17,295",0.39,"921,024","332,013",0.36,75.07%,20.00,-1.64 (-7.58%)
"Jul 16, 2025 (124 days) (w)","10,710","13,846",1.29,"393,560","97,509",0.25,69.84%,20.00,-1.64 (-7.58%)
"Aug 20, 2025 (159 days) (w)","5,766","4,593",0.8,"804,960","54,786",0.07,64.77%,19.00,-2.64 (-12.20%)
"Sep 17, 2025 (187 days) (w)","8,074","5,278",0.65,"59,678","50,961",0.85,61.65%,20.00,-1.64 (-7.58%)
"Oct 22, 2025 (222 days) (w)",135,126,0.93,"24,662","15,201",0.62,58.1%,21.00,-0.64 (-2.96%)
"Nov 19, 2025 (250 days) (w)",191,34,0.18,"14,220","3,911",0.28,60.76%,21.00,-0.64 (-2.96%)
